0,-0.0186355,-0.06233,-0.110398,-0.149266,-0.172316,-0.177423,-0.164722,-0.134997,-0.0886894,-0.0254555,0.0558064,0.156627,0.278493,0.422358,0.58821,0.774706,0.978902,1.19605,1.41952,1.64087,1.85011,2.03608,2.18712,2.2918,2.33989,2.32328,2.23699,2.07999,1.85586,1.573,1.24443,0.887087,0.520524,0.165219,-0.159352,-0.43664,-0.654607,-0.80673,-0.892238,-0.915575,-0.885214,-0.812081,-0.707901,-0.583833,-0.449733,-0.314414,-0.187219,-0.0807485,-0.0128648,0
-0.0186355,-0.0253646,-0.0322819,-0.039689,-0.042508,-0.0360172,-0.0169479,0.016714,0.066174,0.1322,0.215319,0.31584,0.433715,0.568313,0.718158,0.880709,1.05223,1.2278,1.40144,1.56646,1.71582,1.84263,1.94067,2.0048,2.03134,2.01831,1.96548,1.87431,1.74783,1.5903,1.407,1.20398,0.987824,0.765541,0.54442,0.331889,0.135277,-0.0385569,-0.183716,-0.295814,-0.372461,-0.413564,-0.421333,-0.400025,-0.355524,-0.294949,-0.226422,-0.158835,-0.100769,-0.0563088,-0.0128648
-0.0629411,-0.0319066,-0.00215131,0.0256836,0.0543852,0.0878961,0.130128,0.184398,0.253152,0.337815,0.438733,0.555172,0.685339,0.826402,0.974529,1.12498,1.27234,1.41089,1.53508,1.64008,1.72221,1.77926,1.81063,1.81715,1.80086,1.76457,1.71143,1.64446,1.5662,1.47855,1.38259,1.27875,1.167,1.04719,0.919527,0.784918,0.645389,0.504239,0.365991,0.236032,0.120007,0.0230163,-0.051213,-0.101051,-0.127468,-0.13424,-0.12773,-0.115877,-0.105735,-0.0987169,-0.0833282
-0.112092,-0.0367786,0.0298462,0.0898795,0.146675,0.204566,0.268173,0.341661,0.428074,0.528821,0.643439,0.769639,0.903582,1.04029,1.1741,1.29921,1.4103,1.50308,1.57486,1.62484,1.65403,1.66504,1.66151,1.6475,1.62696,1.60319,1.57851,1.55409,1.52989,1.50475,1.47655,1.4425,1.39944,1.34422,1.27414,1.18741,1.08356,0.963794,0.831174,0.690564,0.548263,0.411319,0.286553,0.179412,0.0928155,0.0262536,-0.024489,-0.0664876,-0.107258,-0.150825,-0.193434
-0.149924,-0.0323365,0.0683864,0.156972,0.238242,0.317438,0.399841,0.490016,0.590923,0.703194,0.824883,0.95175,1.078,1.19723,1.30337,1.39156,1.45883,1.50451,1.53018,1.53932,1.53662,1.52718,1.51583,1.50657,1.50229,1.50463,1.51395,1.52951,1.54949,1.57116,1.59103,1.60498,1.6085,1.59704,1.56638,1.51315,1.43529,1.33256,1.20679,1.06203,0.904276,0.741029,0.580372,0.429808,0.294828,0.177518,0.0756517,-0.0170861,-0.109283,-0.208604,-0.318257
-0.164189,-0.0109596,0.117917,0.229738,0.330977,0.427702,0.525445,0.628523,0.73904,0.856137,0.975947,1.09239,1.19853,1.28805,1.35643,1.40178,1.425,1.42947,1.42026,1.40319,1.38394,1.36741,1.35738,1.35649,1.36629,1.38737,1.4195,1.46162,1.51187,1.56745,1.62459,1.67855,1.72374,1.75403,1.76321,1.74572,1.69743,1.61629,1.50293,1.36075,1.19574,1.01581,0.82991,0.6468,0.473593,0.314167,0.167839,0.028991,-0.111739,-0.264624,-0.437033
-0.144589,0.0334355,0.181232,0.309013,0.424672,0.53442,0.643171,0.754112,0.867732,0.981213,1.08884,1.18349,1.25853,1.30952,1.33513,1.33728,1.32043,1.29052,1.25385,1.21617,1.18227,1.15584,1.13967,1.13586,1.14597,1.17113,1.21193,1.2683,1.3393,1.4228,1.51525,1.6115,1.70478,1.78689,1.8488,1.88156,1.87745,1.83134,1.74165,1.6109,1.44545,1.25452,1.04882,0.83886,0.633393,0.437726,0.252345,0.0722687,-0.11207,-0.312023,-0.536343
-0.081845,0.105181,0.259187,0.393785,0.517451,0.635138,0.749803,0.862488,0.971491,1.07202,1.1572,1.22014,1.2561,1.26379,1.24546,1.20609,1.15201,1.08964,1.02472,0.961987,0.905305,0.857943,0.822827,0.802681,0.800053,0.817233,0.856092,0.917861,1.00284,1.11003,1.23674,1.37813,1.52694,1.67333,1.80529,1.90953,1.97306,1.98521,1.93971,1.83626,1.68077,1.48437,1.26104,1.02496,0.787938,0.557455,0.335355,0.117364,-0.105874,-0.345708,-0.610485
0.0322604,0.206899,0.350969,0.481731,0.606474,0.726676,0.8416,0.949178,1.0453,1.12369,1.17743,1.20123,1.19329,1.15566,1.09333,1.01278,0.920548,0.822454,0.723463,0.627874,0.539617,0.462446,0.399997,0.355771,0.333068,0.334939,0.364114,0.422887,0.512913,0.63485,0.787844,0.968844,1.17184,1.38718,1.6013,1.79709,1.95536,2.05744,2.08854,2.04118,1.91736,1.72844,1.49242,1.22957,0.957787,0.689202,0.428449,0.172558,-0.0873802,-0.362452,-0.660129
0.204268,0.339562,0.454585,0.569892,0.688663,0.805859,0.915092,1.01045,1.08563,1.13378,1.14911,1.1289,1.07447,0.990546,0.883602,0.760421,0.627226,0.489545,0.352421,0.220624,0.0986998,-0.00909575,-0.0988937,-0.167237,-0.211015,-0.227335,-0.213369,-0.16627,-0.0832017,0.0384277,0.200462,0.403171,0.644107,0.916749,1.20921,1.50348,1.77585,1.99906,2.1465,2.19777,2.14414,1.99149,1.7592,1.4746,1.16532,0.852486,0.546906,0.248758,-0.0499369,-0.36037,-0.689883
